"PROVA Q",""
"Q 01‐C","Q 46‐B"
"Q 02‐E","Q 47‐C"
"Q 03‐D","Q 48‐C"
"Q 04‐E","Q 49‐E"
"Q 05‐ANULADA","Q 50‐B"
"Q 06‐C","Q 51‐D"
"Q 07‐D","Q 52‐A"
"Q 08‐B","Q 53‐D"
"Q 09‐A","Q 54‐A"
"Q 10‐D","Q 55‐E"
"Q 11‐A","Q 56‐C"
"Q 12‐A","Q 57‐B"
"Q 13‐C","Q 58‐E"
"Q 14‐E","Q 59‐A"
"Q 15‐A","Q 60‐C"
"Q 16‐E","Q 61‐A"
"Q 17‐E","Q 62‐A"
"Q 18‐D","Q 63‐E"
"Q 19‐D","Q 64‐E"
"Q 20‐C","Q 65‐B"
"Q 21‐B","Q 66‐C"
"Q 22‐B","Q 67‐B"
"Q 23‐D","Q 68‐D"
"Q 24‐B","Q 69‐B"
"Q 25‐C","Q 70‐A"
"Q 26‐D","Q 71‐C"
"Q 27‐C","Q 72‐B"
"Q 28‐A","Q 73‐D"
"Q 29‐B","Q 74‐D"
"Q 30‐E","Q 75‐B"
"Q 31‐D","Q 76‐A"
"Q 32‐E","Q 77‐E"
"Q 33‐A","Q 78‐A"
"Q 34‐D","Q 79‐D"
"Q 35‐C","Q 80‐E"
"Q 36‐C","Q 81‐C"
"Q 37‐B","Q 82‐C"
"Q 38‐C","Q 83‐B"
"Q 39‐B","Q 84‐E"
"Q 40‐E","Q 85‐B"
"Q 41‐A","Q 86‐C"
"Q 42‐A","Q 87‐D"
"Q 43‐D","Q 88‐A"
"Q 44‐E","Q 89‐E"
"Q 45‐B","Q 90‐E"
