"PROVA Q",""
"Q 01‐ C","Q 46‐ E"
"Q 02‐ D","Q 47‐ E"
"Q 03‐ E","Q 48‐ B"
"Q 04‐ E","Q 49‐ C"
"Q 05‐ B","Q 50‐ B"
"Q 06‐ B","Q 51‐ D"
"Q 07‐ C","Q 52‐ D"
"Q 08‐Anulada","Q 53‐ A"
"Q 09‐ D","Q 54‐ C"
"Q 10‐ B","Q 55‐ A"
"Q 11‐ D","Q 56‐ B"
"Q 12‐ D","Q 57‐ E"
"Q 13‐ A","Q 58‐ B"
"Q 14‐ E","Q 59‐ A"
"Q 15‐ B","Q 60‐ B"
"Q 16‐ B","Q 61‐ B"
"Q 17‐ C","Q 62‐ A"
"Q 18‐ C","Q 63‐ E"
"Q 19‐ E","Q 64‐ E"
"Q 20‐ A","Q 65‐ B"
"Q 21‐ E","Q 66‐ A"
"Q 22‐ E","Q 67‐ A"
"Q 23‐ A","Q 68‐ E"
"Q 24‐ C","Q 69‐ C"
"Q 25‐ B","Q 70‐ D"
"Q 26‐ A","Q 71‐ C"
"Q 27‐ C","Q 72‐ C"
"Q 28‐ E","Q 73‐ D"
"Q 29‐ C","Q 74‐ C"
"Q 30‐ D","Q 75‐ A"
"Q 31‐ B","Q 76‐ D"
"Q 32‐ D","Q 77‐ B"
"Q 33‐ E","Q 78‐ E"
"Q 34‐ E","Q 79‐ B"
"Q 35‐ C","Q 80‐ C"
"Q 36‐ E","Q 81‐ D"
"Q 37‐ A","Q 82‐ C"
"Q 38‐ D","Q 83‐ B"
"Q 39‐ A","Q 84‐ A"
"Q 40‐ D","Q 85‐ C"
"Q 41‐ B","Q 86‐ E"
"Q 42‐ C","Q 87‐ B"
"Q 43‐ B","Q 88‐ E"
"Q 44‐ A","Q 89‐ D"
"Q 45‐ B","Q 90‐ A"
