"PROVA K",""
"K 01‐ E","K 46‐ E"
"K 02‐ E","K 47‐ C"
"K 03‐ B","K 48‐ E"
"K 04‐ C","K 49‐ A"
"K 05‐ B","K 50‐ D"
"K 06‐ D","K 51‐ A"
"K 07‐ D","K 52‐ D"
"K 08‐ A","K 53‐ B"
"K 09‐ C","K 54‐ C"
"K 10‐ A","K 55‐ B"
"K 11‐ B","K 56‐ A"
"K 12‐ C","K 57‐ B"
"K 13‐ D","K 58‐ D"
"K 14‐ C","K 59‐ D"
"K 15‐ B","K 60‐ A"
"K 16‐ A","K 61‐ E"
"K 17‐ C","K 62‐ B"
"K 18‐ E","K 63‐ B"
"K 19‐ B","K 64‐ C"
"K 20‐ E","K 65‐ C"
"K 21‐ D","K 66‐ E"
"K 22‐ A","K 67‐ A"
"K 23‐ E","K 68‐ E"
"K 24‐ B","K 69‐ E"
"K 25‐ A","K 70‐ A"
"K 26‐ B","K 71‐ C"
"K 27‐ B","K 72‐ B"
"K 28‐ A","K 73‐ A"
"K 29‐ E","K 74‐ C"
"K 30‐ E","K 75‐ E"
"K 31‐ B","K 76‐ C"
"K 32‐ A","K 77‐ D"
"K 33‐ A","K 78‐ B"
"K 34‐ E","K 79‐ D"
"K 35‐ C","K 80‐ E"
"K 36‐ D","K 81‐ C"
"K 37‐ C","K 82‐ D"
"K 38‐ C","K 83‐ E"
"K 39‐ D","K 84‐ E"
"K 40‐ C","K 85‐ B"
"K 41‐ A","K 86‐ B"
"K 42‐ D","K 87‐ C"
"K 43‐ B","K 88‐Anulada"
"K 44‐ E","K 89‐ D"
"K 45‐ B","K 90‐ B"
