"PROVA X",""
"X 01‐ A","X 46‐ C"
"X 02‐ C","X 47‐ D"
"X 03‐ B","X 48‐ C"
"X 04‐ A","X 49‐ B"
"X 05‐ C","X 50‐ A"
"X 06‐ E","X 51‐ C"
"X 07‐ C","X 52‐ E"
"X 08‐ D","X 53‐ B"
"X 09‐ B","X 54‐ E"
"X 10‐ D","X 55‐ D"
"X 11‐ E","X 56‐ A"
"X 12‐ C","X 57‐ E"
"X 13‐ D","X 58‐ E"
"X 14‐ E","X 59‐ B"
"X 15‐ E","X 60‐ C"
"X 16‐ B","X 61‐ B"
"X 17‐ B","X 62‐ D"
"X 18‐ C","X 63‐ D"
"X 19‐ Anulada","X 64‐ A"
"X 20‐ D","X 65‐ C"
"X 21‐ B","X 66‐ A"
"X 22‐ E","X 67‐ B"
"X 23‐ C","X 68‐ A"
"X 24‐ E","X 69‐ D"
"X 25‐ A","X 70‐ B"
"X 26‐ D","X 71‐ E"
"X 27‐ A","X 72‐ B"
"X 28‐ D","X 73‐ E"
"X 29‐ B","X 74‐ B"
"X 30‐ C","X 75‐ A"
"X 31‐ B","X 76‐ B"
"X 32‐ A","X 77‐ B"
"X 33‐ B","X 78‐ A"
"X 34‐ D","X 79‐ E"
"X 35‐ D","X 80‐ E"
"X 36‐ A","X 81‐ B"
"X 37‐ E","X 82‐ A"
"X 38‐ B","X 83‐ A"
"X 39‐ B","X 84‐ E"
"X 40‐ C","X 85‐ C"
"X 41‐ C","X 86‐ D"
"X 42‐ E","X 87‐ C"
"X 43‐ A","X 88‐ C"
"X 44‐ E","X 89‐ D"
"X 45‐ E","X 90‐ C"
