"PROVA Z",""
"Z 01‐ C","Z 46‐ C"
"Z 02‐ D","Z 47‐ D"
"Z 03‐ C","Z 48‐ E"
"Z 04‐ B","Z 49‐ E"
"Z 05‐ A","Z 50‐ B"
"Z 06‐ C","Z 51‐ B"
"Z 07‐ E","Z 52‐ C"
"Z 08‐ B","Z 53‐ Anulada"
"Z 09‐ E","Z 54‐ D"
"Z 10‐ D","Z 55‐ B"
"Z 11‐ A","Z 56‐ A"
"Z 12‐ E","Z 57‐ C"
"Z 13‐ E","Z 58‐ B"
"Z 14‐ B","Z 59‐ A"
"Z 15‐ C","Z 60‐ C"
"Z 16‐ B","Z 61‐ E"
"Z 17‐ D","Z 62‐ C"
"Z 18‐ D","Z 63‐ D"
"Z 19‐ A","Z 64‐ B"
"Z 20‐ C","Z 65‐ D"
"Z 21‐ A","Z 66‐ E"
"Z 22‐ B","Z 67‐ E"
"Z 23‐ A","Z 68‐ C"
"Z 24‐ D","Z 69‐ E"
"Z 25‐ B","Z 70‐ A"
"Z 26‐ E","Z 71‐ D"
"Z 27‐ B","Z 72‐ A"
"Z 28‐ E","Z 73‐ D"
"Z 29‐ B","Z 74‐ B"
"Z 30‐ A","Z 75‐ C"
"Z 31‐ B","Z 76‐ B"
"Z 32‐ B","Z 77‐ A"
"Z 33‐ A","Z 78‐ B"
"Z 34‐ E","Z 79‐ D"
"Z 35‐ E","Z 80‐ D"
"Z 36‐ B","Z 81‐ A"
"Z 37‐ A","Z 82‐ E"
"Z 38‐ A","Z 83‐ B"
"Z 39‐ E","Z 84‐ B"
"Z 40‐ C","Z 85‐ C"
"Z 41‐ D","Z 86‐ C"
"Z 42‐ C","Z 87‐ E"
"Z 43‐ C","Z 88‐ A"
"Z 44‐ D","Z 89‐ E"
"Z 45‐ C","Z 90‐ E"
