"PROVA Z",""
"01‐D","46‐D"
"02‐D","47‐D"
"03‐A","48‐B"
"04‐C","49‐C"
"05‐C","50‐E"
"06‐C","51‐A"
"07‐B","52‐B"
"08‐A","53‐C"
"09‐E","54‐C"
"10‐B","55‐A"
"11‐D","56‐B"
"12‐D","57‐B"
"13‐B","58‐E"
"14‐D","59‐B"
"15‐E","60‐A"
"16‐E","61‐C"
"17‐A","62‐E"
"18‐D","63‐C"
"19‐B","64‐B"
"20‐C","65‐D"
"21‐C","66‐A"
"22‐D","67‐C"
"23‐E","68‐C"
"24‐D","69‐A"
"25‐D","70‐D"
"26‐E","71‐E"
"27‐A","72‐E"
"28‐E","73‐B"
"29‐A","74‐A"
"30‐A","75‐C"
"31‐D","76‐E"
"32‐E","77‐B"
"33‐B","78‐D"
"34‐D","79‐A"
"35‐C","80‐B"
"36‐C","81‐D"
"37‐E","82‐E"
"38‐B","83‐C"
"39‐E","84‐A"
"40‐E","85‐D"
"41‐A","86‐E"
"42‐B","87‐E"
"43‐E","88‐C"
"44‐D","89‐B"
"45‐E","90‐A"
