"PROVA Q",""
"01‐A","46‐A"
"02‐A","47‐D"
"03‐D","48‐E"
"04‐E","49‐E"
"05‐B","50‐B"
"06‐D","51‐A"
"07‐C","52‐C"
"08‐C","53‐E"
"09‐E","54‐B"
"10‐B","55‐D"
"11‐E","56‐A"
"12‐E","57‐B"
"13‐A","58‐D"
"14‐B","59‐E"
"15‐E","60‐C"
"16‐D","61‐A"
"17‐D","62‐D"
"18‐D","63‐E"
"19‐A","64‐E"
"20‐C","65‐C"
"21‐C","66‐B"
"22‐C","67‐A"
"23‐B","68‐E"
"24‐A","69‐D"
"25‐E","70‐D"
"26‐B","71‐B"
"27‐D","72‐C"
"28‐D","73‐E"
"29‐B","74‐A"
"30‐D","75‐B"
"31‐E","76‐C"
"32‐E","77‐C"
"33‐A","78‐A"
"34‐D","79‐B"
"35‐B","80‐B"
"36‐C","81‐E"
"37‐C","82‐B"
"38‐D","83‐A"
"39‐E","84‐C"
"40‐D","85‐E"
"41‐D","86‐C"
"42‐E","87‐B"
"43‐A","88‐D"
"44‐E","89‐A"
"45‐C","90‐C"
