"PROVA Z",""
"Z 01‐ C","Z 46‐ B"
"Z 02‐ D","Z 47‐ E"
"Z 03‐ A","Z 48‐ B"
"Z 04‐ C","Z 49‐ C"
"Z 05‐ D","Z 50‐ E"
"Z 06‐ E","Z 51‐ B"
"Z 07‐ A","Z 52‐ C"
"Z 08‐ B","Z 53‐ C"
"Z 09‐ C","Z 54‐ A"
"Z 10‐ E","Z 55‐ D"
"Z 11‐ B","Z 56‐ E"
"Z 12‐ E","Z 57‐ B"
"Z 13‐ D","Z 58‐ A"
"Z 14‐ E","Z 59‐ B"
"Z 15‐ A","Z 60‐ D"
"Z 16‐ D","Z 61‐ C"
"Z 17‐ D","Z 62‐ B"
"Z 18‐ B","Z 63‐ A"
"Z 19‐ C","Z 64‐ D"
"Z 20‐ B","Z 65‐ C"
"Z 21‐ C","Z 66‐ E"
"Z 22‐ A","Z 67‐ D"
"Z 23‐ A","Z 68‐ B"
"Z 24‐ E","Z 69‐ A"
"Z 25‐ E","Z 70‐ C"
"Z 26‐ B","Z 71‐ E"
"Z 27‐ D","Z 72‐ E"
"Z 28‐ A","Z 73‐ C"
"Z 29‐ D","Z 74‐ A"
"Z 30‐ B","Z 75‐ B"
"Z 31‐ A","Z 76‐ E"
"Z 32‐ C","Z 77‐ D"
"Z 33‐ C","Z 78‐ C"
"Z 34‐ D","Z 79‐ D"
"Z 35‐ B","Z 80‐ B"
"Z 36‐ D","Z 81‐ E"
"Z 37‐ D","Z 82‐ C"
"Z 38‐ A","Z 83‐ B"
"Z 39‐ C","Z 84‐ D"
"Z 40‐ D","Z 85‐ E"
"Z 41‐ B","Z 86‐ C"
"Z 42‐ E","Z 87‐ A"
"Z 43‐ E","Z 88‐ A"
"Z 44‐ A","Z 89‐ D"
"Z 45‐ D","Z 90‐ B"
