"PROVA Q",""
"Q 01‐ E","Q 46‐ B"
"Q 02‐ E","Q 47‐ C"
"Q 03‐ B","Q 48‐ C"
"Q 04‐ D","Q 49‐ A"
"Q 05‐ A","Q 50‐ D"
"Q 06‐ D","Q 51‐ E"
"Q 07‐ B","Q 52‐ B"
"Q 08‐ A","Q 53‐ A"
"Q 09‐ C","Q 54‐ B"
"Q 10‐ C","Q 55‐ D"
"Q 11‐ D","Q 56‐ C"
"Q 12‐ B","Q 57‐ B"
"Q 13‐ D","Q 58‐ A"
"Q 14‐ D","Q 59‐ D"
"Q 15‐ A","Q 60‐ C"
"Q 16‐ C","Q 61‐ E"
"Q 17‐ D","Q 62‐ D"
"Q 18‐ B","Q 63‐ B"
"Q 19‐ E","Q 64‐ A"
"Q 20‐ E","Q 65‐ C"
"Q 21‐ A","Q 66‐ E"
"Q 22‐ E","Q 67‐ E"
"Q 23‐ D","Q 68‐ C"
"Q 24‐ E","Q 69‐ A"
"Q 25‐ A","Q 70‐ B"
"Q 26‐ D","Q 71‐ E"
"Q 27‐ D","Q 72‐ D"
"Q 28‐ B","Q 73‐ C"
"Q 29‐ C","Q 74‐ D"
"Q 30‐ B","Q 75‐ B"
"Q 31‐ C","Q 76‐ E"
"Q 32‐ A","Q 77‐ C"
"Q 33‐ A","Q 78‐ B"
"Q 34‐ C","Q 79‐ D"
"Q 35‐ D","Q 80‐ E"
"Q 36‐ A","Q 81‐ C"
"Q 37‐ C","Q 82‐ A"
"Q 38‐ D","Q 83‐ A"
"Q 39‐ E","Q 84‐ D"
"Q 40‐ A","Q 85‐ B"
"Q 41‐ B","Q 86‐ D"
"Q 42‐ C","Q 87‐ B"
"Q 43‐ E","Q 88‐ E"
"Q 44‐ B","Q 89‐ B"
"Q 45‐ E","Q 90‐ C"
