"PROVA K",""
"K 01‐ E","K 46‐ B"
"K 02‐ D","K 47‐ E"
"K 03‐ E","K 48‐ B"
"K 04‐ A","K 49‐ C"
"K 05‐ D","K 50‐ D"
"K 06‐ D","K 51‐ B"
"K 07‐ B","K 52‐ E"
"K 08‐ C","K 53‐ C"
"K 09‐ B","K 54‐ B"
"K 10‐ C","K 55‐ D"
"K 11‐ A","K 56‐ E"
"K 12‐ A","K 57‐ C"
"K 13‐ C","K 58‐ A"
"K 14‐ D","K 59‐ A"
"K 15‐ A","K 60‐ D"
"K 16‐ C","K 61‐ B"
"K 17‐ D","K 62‐ E"
"K 18‐ E","K 63‐ B"
"K 19‐ A","K 64‐ C"
"K 20‐ B","K 65‐ C"
"K 21‐ C","K 66‐ A"
"K 22‐ E","K 67‐ D"
"K 23‐ B","K 68‐ E"
"K 24‐ B","K 69‐ B"
"K 25‐ D","K 70‐ A"
"K 26‐ D","K 71‐ B"
"K 27‐ A","K 72‐ D"
"K 28‐ C","K 73‐ C"
"K 29‐ D","K 74‐ B"
"K 30‐ B","K 75‐ A"
"K 31‐ E","K 76‐ D"
"K 32‐ E","K 77‐ C"
"K 33‐ A","K 78‐ E"
"K 34‐ E","K 79‐ D"
"K 35‐ E","K 80‐ B"
"K 36‐ B","K 81‐ A"
"K 37‐ D","K 82‐ C"
"K 38‐ A","K 83‐ E"
"K 39‐ D","K 84‐ E"
"K 40‐ B","K 85‐ C"
"K 41‐ A","K 86‐ A"
"K 42‐ C","K 87‐ B"
"K 43‐ C","K 88‐ E"
"K 44‐ D","K 89‐ D"
"K 45‐ D","K 90‐ C"
