"PROVA X","","","",""
"1","A","","46","A"
"2","C","","47","C"
"3","A","","48","D"
"4","B","","49","B"
"5","D","","50","A"
"6","E","","51","C"
"7","A","","52","E"
"8","C","","53","A"
"9","B","","54","D"
"10","E","","55","E"
"11","B","","56","B"
"12","B","","57","E"
"13","A","","58","A"
"14","B","","59","C"
"15","D","","60","C"
"16","C","","61","B"
"17","B","","62","E"
"18","B","","63","B"
"19","D","","64","B"
"20","E","","65","D"
"21","B","","66","B"
"22","C","","67","B"
"23","C","","68","E"
"24","D","","69","E"
"25","E","","70","A"
"26","E","","71","B"
"27","D","","72","A"
"28","C","","73","A"
"29","A","","74","B"
"30","B","","75","C"
"31","C","","76","D"
"32","B","","77","E"
"33","D","","78","C"
"34","B","","79","B"
"35","E","","80","E"
"36","E","","81","D"
"37","A","","82","C"
"38","A","","83","D"
"39","A","","84","B"
"40","B","","85","C"
"41","C","","86","C"
"42","B","","87","A"
"43","C","","88","E"
"44","E","","89","E"
"45","C","","90","A"
