"PROVA Z","","","",""
"1","E","","46","D"
"2","D","","47","B"
"3","C","","48","B"
"4","E","","49","C"
"5","A","","50","D"
"6","A","","51","B"
"7","B","","52","C"
"8","C","","53","A"
"9","B","","54","E"
"10","D","","55","E"
"11","B","","56","A"
"12","E","","57","B"
"13","E","","58","E"
"14","A","","59","D"
"15","A","","60","C"
"16","C","","61","C"
"17","D","","62","B"
"18","C","","63","B"
"19","A","","64","C"
"20","D","","65","C"
"21","C","","66","E"
"22","B","","67","A"
"23","B","","68","C"
"24","B","","69","C"
"25","D","","70","B"
"26","E","","71","E"
"27","B","","72","A"
"28","B","","73","E"
"29","A","","74","B"
"30","B","","75","B"
"31","E","","76","D"
"32","A","","77","B"
"33","B","","78","B"
"34","E","","79","C"
"35","A","","80","B"
"36","C","","81","E"
"37","D","","82","C"
"38","E","","83","A"
"39","D","","84","D"
"40","E","","85","C"
"41","A","","86","B"
"42","C","","87","A"
"43","E","","88","A"
"44","A","","89","B"
"45","C","","90","E"
