"PROVA Q","","","",""
"1","B","","46","C"
"2","C","","47","A"
"3","C","","48","D"
"4","C","","49","C"
"5","E","","50","B"
"6","A","","51","B"
"7","B","","52","B"
"8","E","","53","D"
"9","A","","54","E"
"10","B","","55","B"
"11","A","","56","B"
"12","D","","57","C"
"13","E","","58","D"
"14","A","","59","B"
"15","B","","60","A"
"16","C","","61","C"
"17","E","","62","E"
"18","B","","63","A"
"19","C","","64","D"
"20","A","","65","E"
"21","D","","66","B"
"22","E","","67","B"
"23","B","","68","E"
"24","E","","69","B"
"25","A","","70","B"
"26","B","","71","D"
"27","A","","72","B"
"28","C","","73","B"
"29","E","","74","C"
"30","D","","75","E"
"31","C","","76","A"
"32","E","","77","C"
"33","A","","78","E"
"34","A","","79","D"
"35","B","","80","B"
"36","C","","81","C"
"37","B","","82","C"
"38","D","","83","A"
"39","B","","84","E"
"40","E","","85","E"
"41","E","","86","A"
"42","A","","87","C"
"43","A","","88","C"
"44","C","","89","D"
"45","D","","90","B"
