"PROVA X",""
"X 01-D","X 46-B"
"X 02-E","X 47-C"
"X 03-B","X 48-D"
"X 04-A","X 49-A"
"X 05-D","X 50-B"
"X 06-C","X 51-D"
"X 07-B","X 52-B"
"X 08-A","X 53-D"
"X 09-B","X 54-A"
"X 10-A","X 55-E"
"X 11-E","X 56-B"
"X 12-E","X 57-B"
"X 13-C","X 58-E"
"X 14-A","X 59-A"
"X 15-B","X 60-C"
"X 16-D","X 61-B"
"X 17-A","X 62-A"
"X 18-B","X 63-C"
"X 19-E","X 64-E"
"X 20-E","X 65-D"
"X 21-C","X 66-E"
"X 22-D","X 67-C"
"X 23-A","X 68-B"
"X 24-D","X 69-B"
"X 25-C","X 70-A"
"X 26-A","X 71-D"
"X 27-C","X 72-D"
"X 28-B","X 73-E"
"X 29-E","X 74-A"
"X 30-B","X 75-A"
"X 31-E","X 76-E"
"X 32-D","X 77-D"
"X 33-B","X 78-B"
"X 34-E","X 79-C"
"X 35-D","X 80-E"
"X 36-B","X 81-D"
"X 37-A","X 82-C"
"X 38-E","X 83-B"
"X 39-D","X 84-A"
"X 40-C","X 85-A"
"X 41-E","X 86-C"
"X 42-C","X 87-A"
"X 43-B","X 88-E"
"X 44-A","X 89-B"
"X 45-A","X 90-D"
