"PROVA K","","","",""
"1","E","","46","B"
"2","C","","47","A"
"3","E","","48","E"
"4","C","","49","D"
"5","D","","50","C"
"6","B","","51","A"
"7","D","","52","C"
"8","C","","53","E"
"9","B","","54","B"
"10","D","","55","C"
"11","C","","56","D"
"12","A","","57","C"
"13","A","","58","D"
"14","B","","59","E"
"15","C","","60","E"
"16","A","","61","C"
"17","C","","62","B"
"18","E","","63","A"
"19","D","","64","A"
"20","A","","65","B"
"21","E","","66","B"
"22","E","","67","A"
"23","A","","68","D"
"24","C","","69","C"
"25","D","","70","D"
"26","A","","71","C"
"27","C","","72","D"
"28","C","","73","D"
"29","A","","74","E"
"30","A","","75","C"
"31","A","","76","E"
"32","E","","77","B"
"33","B","","78","A"
"34","A","","79","E"
"35","A","","80","D"
"36","D","","81","A"
"37","D","","82","D"
"38","B","","83","D"
"39","C","","84","B"
"40","E","","85","C"
"41","B","","86","C"
"42","A","","87","D"
"43","A","","88","D"
"44","B","","89","D"
"45","B","","90","*"
