"PROVA V",""
"1‐C","46‐C"
"2‐B","47‐E"
"3‐A","48‐B"
"4‐B","49‐E"
"5‐E","50‐D"
"6‐D","51‐A"
"7‐E","52‐C"
"8‐C","53‐A"
"9‐B","54‐C"
"10‐D","55‐B"
"11‐A","56‐B"
"12‐C","57‐D"
"13‐D","58‐E"
"14‐D","59‐E"
"15‐A","60‐C"
"16‐B","61‐D"
"17‐D","62‐B"
"18‐E","63‐E"
"19‐E","64‐E"
"20‐C","65‐C"
"21‐A","66‐B"
"22‐A","67‐D"
"23‐A","68‐A"
"24‐C","69‐A"
"25‐B","70‐A"
"26‐D","71‐B"
"27‐A","72‐C"
"28‐C","73‐E"
"29‐E","74‐C"
"30‐D","75‐A"
"31‐E","76‐A"
"32‐A","77‐D"
"33‐B","78‐E"
"34‐C","79‐E"
"35‐A","80‐C"
"36‐B","81‐B"
"37‐D","82‐C"
"38‐A","83‐D"
"39‐C","84‐B"
"40‐C","85‐B"
"41‐E","86‐C"
"42‐C","87‐E"
"43‐B","88‐A"
"44‐D","89‐D"
"45‐A","90‐D"
